epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09335,0.85329,2.49818,2.94453,1.16383,0.68506,0.63333,0.75047,0.49168,0.65025,0.53333,0.61134,0.44209,1.67008,2.70779,1.46974,1.38935,0,0,0
2,6.35984,0.94907,3.02534,3.09753,1.22307,0.68756,0.63333,0.7467,0.49575,0.67727,0.61667,0.63303,0.44119,1.65761,2.69915,1.45922,1.38514,1.17822e-06,1.17822e-06,1.17822e-06
3,9.78095,0.98648,2.5748,2.68258,1.32322,0.70581,0.63333,0.74815,0.49796,0.69394,0.61667,0.62945,0.43778,1.65503,2.69939,1.45798,1.38535,2.33288e-06,2.33288e-06,2.33288e-06
4,13.827,0.9317,2.53918,2.76776,1.40226,0.70532,0.62696,0.74469,0.50279,0.68572,0.6,0.61614,0.43111,1.63901,2.70036,1.45512,1.38348,3.46397e-06,3.46397e-06,3.46397e-06
5,19.1786,1.12488,2.98705,3.43765,1.41683,0.71809,0.63333,0.74466,0.50933,0.69243,0.6,0.62618,0.43256,1.61945,2.69318,1.45665,1.37999,4.5715e-06,4.5715e-06,4.5715e-06
6,23.7091,1.03461,3.04511,2.94198,1.26824,0.72557,0.63333,0.74365,0.50816,0.69861,0.6,0.62294,0.43185,1.60255,2.68833,1.45168,1.37517,5.65548e-06,5.65548e-06,5.65548e-06
7,28.6283,1.00013,2.54268,2.76846,1.24525,0.73046,0.63333,0.7461,0.48854,0.70287,0.6,0.6244,0.43024,1.59196,2.69009,1.46274,1.37299,6.71588e-06,6.71588e-06,6.71588e-06
8,33.2948,0.75544,2.37429,2.2652,1.09856,0.73606,0.63333,0.78031,0.52334,0.7073,0.6,0.65027,0.43325,1.58468,2.68713,1.46021,1.37267,7.75273e-06,7.75273e-06,7.75273e-06
9,38.2052,1.11084,3.31813,3.67926,1.45148,0.74324,0.62567,0.79419,0.52756,0.71921,0.6,0.64931,0.43356,1.59872,2.6855,1.45576,1.37574,8.76602e-06,8.76602e-06,8.76602e-06
10,42.9806,0.90684,2.80562,2.17877,1.15423,0.74008,0.60672,0.79223,0.52679,0.72231,0.59005,0.65019,0.43199,1.59288,2.68299,1.47065,1.37569,9.75574e-06,9.75574e-06,9.75574e-06
11,47.7468,1.07709,3.15127,2.99788,1.25777,0.7437,0.6,0.79252,0.53108,0.71985,0.5795,0.64824,0.43389,1.59849,2.66826,1.47894,1.37676,1.07219e-05,1.07219e-05,1.07219e-05
12,52.7741,0.96329,2.45258,2.06118,1.23317,0.75255,0.6,0.78241,0.5443,0.73182,0.58333,0.65061,0.44266,1.60641,2.66739,1.47749,1.37686,1.16645e-05,1.16645e-05,1.16645e-05
13,58.1064,1.03563,2.51314,2.19776,1.30103,0.74336,0.6,0.78199,0.54497,0.73931,0.59676,0.69384,0.44262,1.59763,2.65277,1.48519,1.37498,1.25835e-05,1.25835e-05,1.25835e-05
14,63.0171,0.97593,2.90249,2.49299,1.27062,0.77147,0.6,0.78589,0.51156,0.76024,0.59214,0.69643,0.44777,1.58645,2.64713,1.49671,1.37159,1.3479e-05,1.3479e-05,1.3479e-05
15,68.7405,0.78704,2.55433,1.74897,1.20163,0.7566,0.6,0.782,0.52024,0.74525,0.59092,0.6943,0.43395,1.58139,2.6433,1.50869,1.37225,1.43509e-05,1.43509e-05,1.43509e-05
16,78.1408,0.80697,2.67208,2.10223,1.24819,0.78451,0.6,0.81262,0.49393,0.77306,0.59199,0.72321,0.44288,1.57859,2.63867,1.50283,1.37266,1.51993e-05,1.51993e-05,1.51993e-05
17,90.6125,0.8608,2.4153,1.81887,1.23454,0.77633,0.6,0.80705,0.50072,0.77085,0.59616,0.72219,0.44227,1.58337,2.62878,1.51178,1.37368,1.60241e-05,1.60241e-05,1.60241e-05
18,96.5882,1.06959,2.73173,2.511,1.30773,0.77633,0.6,0.80705,0.50072,0.77085,0.59616,0.72219,0.44227,1.58337,2.62878,1.51178,1.37368,1.68253e-05,1.68253e-05,1.68253e-05
19,102.122,0.89036,2.5275,1.7131,1.11654,0.79797,0.6,0.78398,0.48571,0.78018,0.58754,0.72177,0.4511,1.58445,2.63049,1.52433,1.36992,1.7603e-05,1.7603e-05,1.7603e-05
20,106.556,0.81663,1.71183,1.25688,1.13697,0.79797,0.6,0.78398,0.48571,0.78018,0.58754,0.72177,0.4511,1.58445,2.63049,1.52433,1.36992,1.83571e-05,1.83571e-05,1.83571e-05
21,110.764,0.87975,2.81693,2.53371,1.29389,0.77282,0.6,0.77969,0.48454,0.76153,0.59096,0.7191,0.45083,1.60101,2.6403,1.54785,1.3759,1.90876e-05,1.90876e-05,1.90876e-05
22,114.701,0.6375,1.89503,1.5046,1.17885,0.77282,0.6,0.77969,0.48454,0.76153,0.59096,0.7191,0.45083,1.60101,2.6403,1.54785,1.3759,1.97946e-05,1.97946e-05,1.97946e-05
23,120.222,0.96503,2.73521,1.82276,1.26458,0.77384,0.6,0.78028,0.4707,0.71667,0.5102,0.65261,0.43521,1.59514,2.639,1.57627,1.37519,2.0478e-05,2.0478e-05,2.0478e-05
24,125.04,0.9175,2.40363,1.60806,1.19986,0.77384,0.6,0.78028,0.4707,0.71667,0.5102,0.65261,0.43521,1.59514,2.639,1.57627,1.37519,2.11379e-05,2.11379e-05,2.11379e-05
