epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4077,1.13055,4.86969,1.13172,0,0,0,0,0.37756,4.67556,0.83679,2.63e-06,2.63e-06,2.63e-06
2,28.5316,1.12697,4.89128,1.12304,0,0,0,0,0.3795,4.67747,0.83692,7.73378e-06,7.73378e-06,7.73378e-06
3,41.9324,1.05467,4.7864,1.10531,0,0,0,0,0.38962,4.6778,0.83647,1.26293e-05,1.26293e-05,1.26293e-05
4,54.4856,0.96981,4.74123,1.06981,0,0,0,0,0.40807,4.67927,0.83483,1.73164e-05,1.73164e-05,1.73164e-05
5,68.9061,0.95388,4.72841,1.04485,0,0,0,0,0.44386,4.67856,0.83632,2.17953e-05,2.17953e-05,2.17953e-05
6,82.3876,0.88963,4.65476,1.02109,0,0,0,0,0.47305,4.67166,0.83701,2.60659e-05,2.60659e-05,2.60659e-05
7,95.6763,0.93924,4.58854,1.03668,0,0,0,0,0.4925,4.65571,0.83768,3.01282e-05,3.01282e-05,3.01282e-05
8,107.977,0.89954,4.50718,1.01078,0,0,0,0,0.49701,4.63897,0.83841,3.39822e-05,3.39822e-05,3.39822e-05
9,120.119,0.93027,4.45818,0.98277,0,0,0,0,0.49501,4.63278,0.83921,3.76279e-05,3.76279e-05,3.76279e-05
10,131.744,0.8845,4.35984,0.99186,0,0,0,0,0.49579,4.6243,0.84226,4.10653e-05,4.10653e-05,4.10653e-05
11,143.815,0.9161,4.37329,1.0002,0,0,0,0,0.49544,4.61971,0.84674,4.42945e-05,4.42945e-05,4.42945e-05
12,155.362,0.82933,4.20357,1.00066,0,0,0,0,0.49734,4.61126,0.84939,4.73153e-05,4.73153e-05,4.73153e-05
13,167.311,0.84286,4.13795,1.01293,0,0,0,0,0.5059,4.60057,0.85897,5.01278e-05,5.01278e-05,5.01278e-05
14,179.094,0.82431,4.0743,0.97864,0,0,0,0,0.51014,4.58674,0.86442,5.2732e-05,5.2732e-05,5.2732e-05
15,190.613,0.83349,3.97482,0.97478,0,0,0,0,0.51002,4.56958,0.86183,5.5128e-05,5.5128e-05,5.5128e-05
16,202.528,0.86477,3.89167,0.96635,0,0,0,0,0.50966,4.54631,0.85671,5.73156e-05,5.73156e-05,5.73156e-05
17,213.957,0.90234,3.89192,0.98658,0,0,0,0,0.51968,4.5191,0.85934,5.92949e-05,5.92949e-05,5.92949e-05
18,227.464,0.81928,3.71825,0.97105,0.5,0.09259,0.29629,0.29629,0.52673,4.48893,0.85767,6.1066e-05,6.1066e-05,6.1066e-05
19,238.473,0.86813,3.61988,0.97515,0.45,0.16667,0.31474,0.30954,0.52848,4.45183,0.85165,6.26287e-05,6.26287e-05,6.26287e-05
20,250.147,0.94637,3.61223,1.00487,0.34375,0.2037,0.29832,0.28939,0.53309,4.40985,0.84998,6.39832e-05,6.39832e-05,6.39832e-05
21,261.602,0.89787,3.43749,0.97862,0.27083,0.24074,0.28857,0.27531,0.53219,4.36175,0.84897,6.51293e-05,6.51293e-05,6.51293e-05
22,277.019,0.90228,3.23724,0.97135,0.25926,0.25926,0.29273,0.27723,0.53971,4.2998,0.84751,6.60672e-05,6.60672e-05,6.60672e-05
23,289.934,0.82354,3.07265,0.95089,0.23684,0.33333,0.30405,0.27364,0.54961,4.22603,0.84846,6.67967e-05,6.67967e-05,6.67967e-05
24,303.797,0.8602,3.04292,0.99223,0.73077,0.34722,0.56053,0.492,0.5554,4.14178,0.84774,6.7318e-05,6.7318e-05,6.7318e-05
25,316.952,0.79493,2.91855,0.9843,0.6342,0.44676,0.57255,0.50906,0.55896,4.04246,0.84537,6.7631e-05,6.7631e-05,6.7631e-05
26,329.366,0.85416,2.87788,0.98586,0.60238,0.56481,0.61121,0.54203,0.56072,3.93584,0.84428,6.77356e-05,6.77356e-05,6.77356e-05
27,341.916,0.83237,2.75877,0.97701,0.57381,0.67593,0.64836,0.56602,0.56622,3.80382,0.84657,6.7632e-05,6.7632e-05,6.7632e-05
28,354.095,0.84221,2.56747,0.97486,0.57381,0.67593,0.64836,0.56602,0.56622,3.80382,0.84657,6.73201e-05,6.73201e-05,6.73201e-05
29,366.775,0.87038,2.58786,0.98926,0.54855,0.69907,0.64444,0.56475,0.57742,3.65956,0.85022,6.67999e-05,6.67999e-05,6.67999e-05
30,379.863,0.7748,2.50018,0.97969,0.48217,0.75231,0.66034,0.57189,0.58375,3.50909,0.85699,6.60714e-05,6.60714e-05,6.60714e-05
31,393.368,0.9402,2.55944,1.00421,0.48217,0.75231,0.66034,0.57189,0.58375,3.50909,0.85699,6.51346e-05,6.51346e-05,6.51346e-05
32,407.193,0.80921,2.3076,0.97824,0.45732,0.7662,0.65519,0.56542,0.59279,3.36563,0.86489,6.39895e-05,6.39895e-05,6.39895e-05
33,419.779,0.93205,2.42425,0.9796,0.42314,0.80556,0.66459,0.57112,0.59902,3.20115,0.87918,6.26361e-05,6.26361e-05,6.26361e-05
34,432.761,0.89472,2.18707,0.99775,0.42314,0.80556,0.66459,0.57112,0.59902,3.20115,0.87918,6.10744e-05,6.10744e-05,6.10744e-05
35,445.572,0.90777,2.31751,0.95945,0.39883,0.80556,0.66383,0.5744,0.61477,3.04659,0.89687,5.93044e-05,5.93044e-05,5.93044e-05
36,458.586,0.82674,2.24029,0.95676,0.37764,0.78704,0.65947,0.5786,0.62196,2.9048,0.90537,5.73261e-05,5.73261e-05,5.73261e-05
37,471.17,0.88073,2.22617,0.96588,0.37764,0.78704,0.65947,0.5786,0.62196,2.9048,0.90537,5.51395e-05,5.51395e-05,5.51395e-05
38,483.613,0.84083,1.93283,0.97676,0.37597,0.80556,0.66753,0.58741,0.62248,2.76487,0.90739,5.27446e-05,5.27446e-05,5.27446e-05
39,495.887,0.8024,2.10532,0.98163,0.35439,0.86111,0.68775,0.60415,0.62818,2.62431,0.91016,5.01415e-05,5.01415e-05,5.01415e-05
40,509.254,0.89371,2.00404,1.00545,0.35439,0.86111,0.68775,0.60415,0.62818,2.62431,0.91016,4.733e-05,4.733e-05,4.733e-05
41,523.404,0.8479,1.60839,0.94862,0.7128,0.60937,0.69853,0.61452,0.6337,2.50043,0.91554,4.43102e-05,4.43102e-05,4.43102e-05
42,537.382,0.87051,1.58674,0.94717,0.72722,0.5439,0.71842,0.62981,0.63598,2.3782,0.91258,4.10822e-05,4.10822e-05,4.10822e-05
43,550.996,0.79381,1.57817,0.94811,0.72722,0.5439,0.71842,0.62981,0.63598,2.3782,0.91258,3.76458e-05,3.76458e-05,3.76458e-05
44,563.556,0.80238,1.60997,0.93128,0.71234,0.60525,0.71665,0.62434,0.63501,2.24154,0.90797,3.40012e-05,3.40012e-05,3.40012e-05
45,575.549,0.81891,1.51801,0.96161,0.71234,0.60525,0.71665,0.62434,0.63501,2.24154,0.90797,3.01482e-05,3.01482e-05,3.01482e-05
46,587.708,0.83765,1.61651,0.98543,0.69921,0.62517,0.7179,0.61954,0.65371,2.11395,0.92079,2.6087e-05,2.6087e-05,2.6087e-05
47,603.005,0.84496,1.57597,0.96698,0.69921,0.62517,0.7179,0.61954,0.65371,2.11395,0.92079,2.18174e-05,2.18174e-05,2.18174e-05
48,616.795,0.88809,1.56194,0.98503,0.67838,0.65379,0.73045,0.62596,0.64697,1.98621,0.90821,1.73396e-05,1.73396e-05,1.73396e-05
49,630.691,0.80258,1.55025,0.94865,0.67838,0.65379,0.73045,0.62596,0.64697,1.98621,0.90821,1.26535e-05,1.26535e-05,1.26535e-05
50,643.229,0.89113,1.51448,0.95639,0.66588,0.6527,0.73045,0.62165,0.64309,1.8884,0.90315,7.75903e-06,7.75903e-06,7.75903e-06
